open_time_us,open,high,low,close,volume,number_of_trades
2025-10-31 02:00:00-04:00,3850.51,3852.97,3827.25,3834.29,6901.5426,85403
2025-10-31 02:30:00-04:00,3834.28,3835.1,3823.38,3831.24,5079.0448,60618
2025-10-31 03:00:00-04:00,3831.25,3839.89,3825.2,3836.05,4395.3209,75286
2025-10-31 03:30:00-04:00,3836.05,3842.0,3821.67,3831.49,9170.1327,62705
2025-10-31 04:00:00-04:00,3831.49,3840.6,3818.48,3838.84,7287.3081,98532
2025-10-31 04:30:00-04:00,3838.83,3853.98,3833.95,3852.1,5555.1423,87374
2025-10-31 05:00:00-04:00,3852.1,3863.77,3839.48,3841.91,6376.5955,92714
2025-10-31 05:30:00-04:00,3841.91,3849.18,3839.85,3844.99,3406.5177,61678
2025-10-31 06:00:00-04:00,3845.0,3848.84,3840.88,3843.8,2405.3551,57095
2025-10-31 06:30:00-04:00,3843.81,3854.61,3832.82,3835.83,4073.3739,66404
2025-10-31 07:00:00-04:00,3835.83,3837.5,3827.71,3835.11,3973.7088,69636
2025-10-31 07:30:00-04:00,3835.1,3883.13,3834.2,3874.01,12105.4555,112812
2025-10-31 08:00:00-04:00,3874.01,3888.0,3865.61,3870.89,10148.8154,113575
2025-10-31 08:30:00-04:00,3870.89,3878.92,3834.52,3836.18,11291.9564,124465
2025-10-31 09:00:00-04:00,3836.18,3874.35,3836.18,3857.41,13710.3761,85818
2025-10-31 09:30:00-04:00,3857.4,3860.88,3831.95,3860.44,18317.7282,212539
2025-10-31 10:00:00-04:00,3860.45,3873.84,3838.1,3853.12,34631.0286,233715
2025-10-31 10:30:00-04:00,3853.12,3872.71,3845.87,3868.87,36690.4135,184493
2025-10-31 11:00:00-04:00,3868.86,3883.51,3856.21,3862.55,40294.7369,174382
2025-10-31 11:30:00-04:00,3862.56,3876.92,3853.88,3860.99,15318.4589,153874
2025-10-31 12:00:00-04:00,3860.99,3868.75,3843.7,3861.66,10775.5048,142917
