open_time_us,open,high,low,close,volume,number_of_trades
2025-10-31 02:00:00-04:00,1095.87,1103.4,1091.56,1093.96,19717.06,79129
2025-10-31 02:30:00-04:00,1093.96,1096.14,1092.14,1096.07,8334.235,47132
2025-10-31 03:00:00-04:00,1096.08,1097.22,1092.68,1095.5,8386.425,40979
2025-10-31 03:30:00-04:00,1095.51,1099.31,1094.36,1099.03,10259.139,45978
2025-10-31 04:00:00-04:00,1099.04,1104.91,1098.0,1103.9,16062.551,73402
2025-10-31 04:30:00-04:00,1103.91,1104.93,1099.05,1104.31,18707.917,64931
2025-10-31 05:00:00-04:00,1104.3,1104.92,1089.82,1089.93,34183.048,133999
2025-10-31 05:30:00-04:00,1089.93,1095.53,1088.5,1090.65,25136.62,107989
2025-10-31 06:00:00-04:00,1090.65,1092.41,1087.0,1089.8,21504.745,102032
2025-10-31 06:30:00-04:00,1089.8,1093.8,1085.67,1086.04,27636.554,108667
2025-10-31 07:00:00-04:00,1086.04,1091.56,1077.82,1081.29,82166.665,331385
2025-10-31 07:30:00-04:00,1081.29,1088.9,1080.75,1088.19,21601.267,112863
2025-10-31 08:00:00-04:00,1088.19,1092.41,1085.87,1087.68,16728.07,89080
2025-10-31 08:30:00-04:00,1087.68,1087.99,1078.09,1078.77,15014.309,68793
2025-10-31 09:00:00-04:00,1078.77,1084.63,1078.64,1081.39,9386.506,49425
2025-10-31 09:30:00-04:00,1081.38,1083.75,1077.19,1083.05,8000.03,71422
2025-10-31 10:00:00-04:00,1083.06,1085.73,1078.18,1080.32,10161.896,70387
2025-10-31 10:30:00-04:00,1080.32,1088.49,1079.7,1087.42,8997.647,64547
2025-10-31 11:00:00-04:00,1087.42,1090.23,1082.43,1082.6,10259.852,60989
2025-10-31 11:30:00-04:00,1082.6,1087.95,1082.16,1084.53,4502.494,36826
2025-10-31 12:00:00-04:00,1084.52,1086.43,1080.46,1082.98,5004.257,30572
2025-10-31 12:30:00-04:00,1082.98,1084.0,1072.23,1074.07,10219.564,60841
2025-10-31 13:00:00-04:00,1074.06,1077.73,1071.43,1074.48,8491.891,60211
2025-10-31 13:30:00-04:00,1074.48,1080.29,1073.88,1078.76,4395.503,34795
2025-10-31 14:00:00-04:00,1078.76,1080.82,1076.5,1077.43,2218.331,25891
2025-10-31 14:30:00-04:00,1077.44,1083.03,1075.3,1081.85,5683.954,37653
2025-10-31 15:00:00-04:00,1081.85,1087.01,1079.24,1086.2,4167.018,27336
2025-10-31 15:30:00-04:00,1086.21,1092.23,1086.2,1090.0,7111.198,36017
2025-10-31 16:00:00-04:00,1090.0,1090.09,1085.97,1088.95,4665.038,25506
2025-10-31 16:30:00-04:00,1088.95,1089.2,1085.0,1086.06,2225.601,16941
2025-10-31 17:00:00-04:00,1086.05,1087.47,1084.01,1086.87,2703.092,18313
2025-10-31 17:30:00-04:00,1086.88,1088.26,1085.24,1087.43,1470.43,11179
2025-10-31 18:00:00-04:00,1087.43,1089.66,1086.45,1088.11,1727.91,19219
2025-10-31 18:30:00-04:00,1088.1,1089.31,1087.2,1088.81,1617.5,10000
2025-10-31 19:00:00-04:00,1088.8,1089.77,1088.0,1089.67,1426.232,9725
2025-10-31 19:30:00-04:00,1089.67,1091.0,1088.29,1088.9,3329.09,12507
2025-10-31 20:00:00-04:00,1088.9,1090.21,1086.69,1088.1,4358.016,22866
2025-10-31 20:30:00-04:00,1088.1,1093.31,1086.25,1093.14,12603.864,32667
2025-10-31 21:00:00-04:00,1093.14,1095.0,1087.28,1090.36,13731.625,42920
2025-10-31 21:30:00-04:00,1090.36,1091.41,1085.52,1085.68,6125.896,24981
2025-10-31 22:00:00-04:00,1085.68,1085.92,1082.02,1083.76,5066.383,23802
2025-10-31 22:30:00-04:00,1083.77,1086.0,1082.04,1085.71,2477.877,15118
2025-10-31 23:00:00-04:00,1085.71,1090.71,1085.7,1088.8,4654.668,16949
2025-10-31 23:30:00-04:00,1088.8,1091.16,1088.23,1090.0,3388.027,19457
2025-11-01 00:00:00-04:00,1089.99,1091.37,1088.31,1090.33,2834.567,18169
2025-11-01 00:30:00-04:00,1090.33,1091.37,1089.55,1090.01,2689.236,18476
2025-11-01 01:00:00-04:00,1090.0,1090.47,1087.14,1088.1,2821.775,15582
2025-11-01 01:30:00-04:00,1088.1,1088.91,1085.48,1086.4,2303.728,16435
2025-11-01 02:00:00-04:00,1086.4,1086.95,1085.06,1085.53,2296.651,12627
2025-11-01 02:30:00-04:00,1085.54,1086.53,1084.28,1085.95,3300.999,18185
2025-11-01 03:00:00-04:00,1085.95,1088.92,1085.62,1087.89,3321.655,18802
2025-11-01 03:30:00-04:00,1087.9,1088.49,1085.06,1086.46,2036.177,19378
2025-11-01 04:00:00-04:00,1086.47,1088.2,1086.0,1086.73,2631.488,16973
2025-11-01 04:30:00-04:00,1086.74,1088.66,1085.58,1088.41,2710.381,16379
2025-11-01 05:00:00-04:00,1088.41,1089.1,1085.52,1085.81,3290.048,14606
2025-11-01 05:30:00-04:00,1085.81,1089.52,1085.71,1088.06,3598.608,21960
2025-11-01 06:00:00-04:00,1088.07,1089.29,1087.57,1088.0,1894.066,12589
2025-11-01 06:30:00-04:00,1088.0,1088.5,1086.92,1087.89,1677.236,10774
2025-11-01 07:00:00-04:00,1087.88,1089.02,1087.88,1088.6,2271.055,10772
2025-11-01 07:30:00-04:00,1088.6,1089.23,1087.56,1089.11,1078.165,8993
2025-11-01 08:00:00-04:00,1089.11,1091.58,1089.02,1089.81,4882.01,22645
2025-11-01 08:30:00-04:00,1089.81,1091.51,1089.29,1089.65,2945.749,15004
2025-11-01 09:00:00-04:00,1089.65,1089.99,1087.07,1087.61,3273.787,18949
2025-11-01 09:30:00-04:00,1087.62,1088.18,1082.5,1085.0,6149.87,26960
2025-11-01 10:00:00-04:00,1085.0,1086.44,1081.8,1083.61,3050.135,23297
2025-11-01 10:30:00-04:00,1083.61,1086.24,1082.8,1085.08,2940.019,15533
2025-11-01 11:00:00-04:00,1085.07,1096.42,1084.77,1091.54,15232.047,59880
2025-11-01 11:30:00-04:00,1091.53,1092.89,1090.29,1092.6,2898.689,24588
2025-11-01 12:00:00-04:00,1092.6,1093.9,1090.52,1092.3,2844.008,25118
2025-11-01 12:30:00-04:00,1092.31,1094.96,1092.3,1093.59,3179.771,15908
2025-11-01 13:00:00-04:00,1093.58,1096.7,1092.18,1093.16,3866.998,18400
2025-11-01 13:30:00-04:00,1093.16,1094.95,1092.42,1092.78,2248.006,15306
2025-11-01 14:00:00-04:00,1092.78,1094.7,1092.36,1094.18,1017.268,11617
2025-11-01 14:30:00-04:00,1094.17,1094.52,1093.13,1094.22,1276.882,10560
2025-11-01 15:00:00-04:00,1094.22,1094.5,1092.49,1092.79,1617.748,12482
2025-11-01 15:30:00-04:00,1092.78,1094.62,1092.76,1094.52,901.072,8769
2025-11-01 16:00:00-04:00,1094.51,1096.84,1093.81,1096.54,1884.729,8488
2025-11-01 16:30:00-04:00,1096.54,1096.93,1095.48,1095.76,1878.631,9472
2025-11-01 17:00:00-04:00,1095.75,1096.43,1093.0,1094.59,1602.036,10577
2025-11-01 17:30:00-04:00,1094.6,1095.1,1090.37,1090.77,1742.582,9438
2025-11-01 18:00:00-04:00,1090.77,1092.14,1090.22,1091.84,1392.006,15135
2025-11-01 18:30:00-04:00,1091.83,1094.57,1091.75,1094.38,987.29,8497
2025-11-01 19:00:00-04:00,1094.39,1095.24,1093.79,1094.72,1139.729,8407
2025-11-01 19:30:00-04:00,1094.72,1095.9,1094.36,1094.53,1380.295,6760
2025-11-01 20:00:00-04:00,1094.54,1094.76,1091.61,1092.54,2041.303,12462
2025-11-01 20:30:00-04:00,1092.54,1093.24,1091.1,1092.17,1641.73,10182
2025-11-01 21:00:00-04:00,1092.17,1093.86,1091.86,1093.59,2937.337,14092
2025-11-01 21:30:00-04:00,1093.58,1093.82,1090.88,1091.8,1898.586,13484
2025-11-01 22:00:00-04:00,1091.79,1091.79,1087.7,1089.97,3701.192,22452
2025-11-01 22:30:00-04:00,1089.97,1091.56,1089.3,1090.45,1711.806,11543
2025-11-01 23:00:00-04:00,1090.44,1090.84,1088.5,1089.07,2133.343,13310
2025-11-01 23:30:00-04:00,1089.08,1090.22,1088.65,1089.61,1188.455,9445
2025-11-02 00:00:00-04:00,1089.62,1091.42,1088.38,1090.31,1868.07,11863
2025-11-02 00:30:00-04:00,1090.3,1094.87,1090.09,1094.48,3030.018,19048
2025-11-02 01:00:00-04:00,1094.49,1094.49,1090.6,1091.62,2382.026,17844
2025-11-02 01:30:00-04:00,1091.62,1092.6,1090.26,1091.32,1405.408,12269
2025-11-02 01:00:00-05:00,1091.31,1092.07,1088.53,1089.9,3015.171,14007
2025-11-02 01:30:00-05:00,1089.9,1092.6,1088.51,1091.71,2418.23,14163
2025-11-02 02:00:00-05:00,1091.72,1092.16,1090.91,1091.76,2003.231,11941
2025-11-02 02:30:00-05:00,1091.77,1092.21,1091.45,1091.72,243.238,1893
